"Marked","File Name","Folder","Size","Created","Modified","File type","Hash","Group","Hard-links","Artist","Title","Album","Length","Bit rate","Sample rate","Image width","Image height","Unused","ZipFlag"
0,"SKETCHCOLOR","C:\Users\Larry\Desktop\medley\internal\library\OBSOLETE\",5102,"8/19/2020 3:57:54 PM","8/19/2020 3:57:54 PM",".","",38,0,"","","","","","",,,,-1
0,"FILESETS.NOETHER","C:\Users\Larry\Desktop\medley\sources\",6872,"8/19/2020 3:58:03 PM","8/19/2020 3:58:03 PM",".NOETHER","",39,0,"","","","","","",,,,-1
0,"FILESETS.NOETHER","C:\Users\Larry\Desktop\medley\internal\makesysout\sunloadup\",6872,"8/19/2020 3:58:06 PM","8/19/2020 3:58:06 PM",".NOETHER","",39,0,"","","","","","",,,,-1
0,"FILESETS.ORIG","C:\Users\Larry\Desktop\medley\sources\",7059,"8/19/2020 3:58:03 PM","8/19/2020 3:58:03 PM",".ORIG","",40,0,"","","","","","",,,,-1
0,"FILESETS.ORIG","C:\Users\Larry\Desktop\medley\internal\makesysout\sunloadup\",7059,"8/19/2020 3:58:06 PM","8/19/2020 3:58:06 PM",".ORIG","",40,0,"","","","","","",,,,-1
0,"FILESETS.PUP","C:\Users\Larry\Desktop\medley\sources\",5303,"8/19/2020 3:58:03 PM","8/19/2020 3:58:03 PM",".PUP","",41,0,"","","","","","",,,,-1
0,"FILESETS.PUP","C:\Users\Larry\Desktop\medley\internal\makesysout\sunloadup\",5303,"8/19/2020 3:58:06 PM","8/19/2020 3:58:06 PM",".PUP","",41,0,"","","","","","",,,,-1
0,"LLPARAMS","C:\Users\Larry\Desktop\medley\sources\",79238,"8/19/2020 3:58:04 PM","8/19/2020 3:58:04 PM",".","",42,0,"","","","","","",,,,-1
0,"LLPARAMS","C:\Users\Larry\Desktop\medley\internal\makesysout\sunloadup\",79319,"8/19/2020 3:58:06 PM","8/19/2020 3:58:06 PM",".","",42,0,"","","","","","",,,,-1
0,"LOADFULL.LISP","C:\Users\Larry\Desktop\medley\sources\",805,"8/19/2020 3:58:04 PM","8/19/2020 3:58:04 PM",".LISP","",43,0,"","","","","","",,,,-1
0,"LOADFULL.LISP","C:\Users\Larry\Desktop\medley\internal\makesysout\sunloadup\",1184,"8/19/2020 3:58:06 PM","8/19/2020 3:58:06 PM",".LISP","",43,0,"","","","","","",,,,-1
0,"MAIKOLOADUPFNS","C:\Users\Larry\Desktop\medley\sources\",35002,"8/19/2020 3:58:04 PM","8/19/2020 3:58:04 PM",".","",44,0,"","","","","","",,,,-1
0,"MAIKOLOADUPFNS","C:\Users\Larry\Desktop\medley\internal\makesysout\sunloadup\",33919,"8/19/2020 3:58:06 PM","8/19/2020 3:58:06 PM",".","",44,0,"","","","","","",,,,-1
0,"MAIKOCOLOR","C:\Users\Larry\Desktop\medley\library\",58249,"8/19/2020 3:57:55 PM","8/19/2020 3:57:55 PM",".","",45,0,"","","","","","",,,,-1
0,"MAIKOCOLOR","C:\Users\Larry\Desktop\medley\sources\",58249,"8/19/2020 3:58:04 PM","8/19/2020 3:58:04 PM",".","",45,0,"","","","","","",,,,-1
0,"POSTSCRIPTSTREAM","C:\Users\Larry\Desktop\medley\library\",270933,"8/19/2020 3:57:56 PM","8/19/2020 3:57:56 PM",".","",46,0,"","","","","","",,,,-1
0,"POSTSCRIPTSTREAM","C:\Users\Larry\Desktop\medley\lispusers\POSTSCRIPT\",151810,"8/19/2020 3:57:59 PM","8/19/2020 3:57:59 PM",".","",46,0,"","","","","","",,,,-1
0,"UNIXPRINT","C:\Users\Larry\Desktop\medley\library\",14872,"8/19/2020 3:57:56 PM","8/19/2020 3:57:56 PM",".","",47,0,"","","","","","",,,,-1
0,"UNIXPRINT","C:\Users\Larry\Desktop\medley\sources\",14627,"8/19/2020 3:58:05 PM","8/19/2020 3:58:05 PM",".","",47,0,"","","","","","",,,,-1
